gene_id	476822_S10
ER3413_1760	67
ER3413_1761	692
ER3413_1762	2955
ER3413_1765	0
ER3413_1766	1299
ER3413_1767	2490
ER3413_1768	354
ER3413_1769	1255
ER3413_177	2044
ER3413_1770	797
ER3413_1771	920
ER3413_1772	726
ER3413_1773	2637
ER3413_1774	1302
ER3413_1775	105
ER3413_1776	4073
ER3413_1777	1173
ER3413_1778	2305
ER3413_1779	1871
ER3413_178	2631
ER3413_1780	312
ER3413_1781	2734
ER3413_1782	213
ER3413_1783	197
ER3413_1784	1048
ER3413_1785	804
ER3413_1786	1149
ER3413_1787	838
ER3413_1788	1649
ER3413_1789	2420
ER3413_179	5146
ER3413_1790	6009
ER3413_1791	1848
ER3413_1792	2761
ER3413_1794	1076
ER3413_1795	1082
ER3413_1796	1067
ER3413_1797	1648
ER3413_1798	1616
ER3413_1799	2320
ER3413_18	116
ER3413_180	302
ER3413_1800	4416
ER3413_1801	735
ER3413_1802	2483
ER3413_1803	1230
ER3413_1804	124
ER3413_1805	404
ER3413_1807	2351
ER3413_1808	2345
ER3413_1809	3155
ER3413_181	1718
ER3413_1810	1619
ER3413_1811	1055
ER3413_1812	3363
ER3413_1813	1470
ER3413_1814	871
ER3413_1815	3495
ER3413_1816	1219
ER3413_1817	1239
ER3413_1818	1428
ER3413_1819	1469
ER3413_182	606
ER3413_1820	2139
ER3413_1821	2454
ER3413_1822	2500
ER3413_1823	173
ER3413_1824	404
ER3413_1825	1568
ER3413_1826	1858
ER3413_1827	1355
ER3413_1828	768
ER3413_1829	3148
ER3413_183	1557
ER3413_1830	2163
ER3413_1831	4023
ER3413_1832	2450
ER3413_1833	521
ER3413_1834	1525
ER3413_1835	1075
ER3413_1836	2084
ER3413_1837	184
ER3413_1838	77
ER3413_1839	1511
ER3413_184	3073
ER3413_1840	0
ER3413_1841	90
ER3413_1842	28
ER3413_1843	395
ER3413_1845	1694
ER3413_1846	1781
ER3413_1847	2286
ER3413_1848	3207
ER3413_1849	1983
ER3413_185	1650
ER3413_1850	1689
ER3413_1851	1764
ER3413_1852	2256
ER3413_1853	584
ER3413_1854	2159
ER3413_1855	3229
ER3413_1856	408
ER3413_1858	257
ER3413_1859	111
ER3413_186	9281
ER3413_1860	2350
ER3413_1861	924
ER3413_1862	3010
ER3413_1863	2522
ER3413_1864	2459
ER3413_1865	1354
ER3413_1866	1560
ER3413_1867	1235
ER3413_1868	494
ER3413_1869	811
ER3413_187	2345
ER3413_1870	828
ER3413_1871	67
ER3413_1872	8
ER3413_1873	348
ER3413_1874	16
ER3413_1875	86
ER3413_1876	1275
ER3413_1877	2998
ER3413_1878	1712
ER3413_188	5725
ER3413_1880	3640
ER3413_1881	1185
ER3413_1882	452
ER3413_1883	2305
ER3413_1884	4689
ER3413_1886	3027
ER3413_1887	123
ER3413_1888	954
ER3413_1889	44
ER3413_189	686
ER3413_1890	370
ER3413_1891	1522
ER3413_1892	723
ER3413_1893	113
ER3413_1894	1158
ER3413_1895	4101
ER3413_1896	715
ER3413_1897	877
ER3413_1898	301
ER3413_1899	313
ER3413_19	1774
ER3413_190	7316
ER3413_1900	1982
ER3413_1901	821
ER3413_1902	3702
ER3413_1903	2044
ER3413_1905	2034
ER3413_1906	2162
ER3413_1907	1390
ER3413_1908	2715
ER3413_1909	1789
ER3413_191	129
ER3413_1910	1353
ER3413_1911	1940
ER3413_1912	2170
ER3413_1913	1163
ER3413_1914	1117
ER3413_1915	450
ER3413_1916	773
ER3413_1917	313
ER3413_1918	3063
ER3413_1919	933
ER3413_192	176
ER3413_1920	1132
ER3413_1921	297
ER3413_1922	680
ER3413_1923	1388
ER3413_1924	5174
ER3413_1925	1652
ER3413_1926	1132
ER3413_1927	815
ER3413_1928	2598
ER3413_1929	686
ER3413_193	1082
ER3413_1930	375
ER3413_1931	4519
ER3413_1932	2833
ER3413_1934	1140
ER3413_1935	515
ER3413_1936	2351
ER3413_1937	1831
ER3413_1938	4227
ER3413_1939	5845
ER3413_194	634
ER3413_1940	490
ER3413_1941	3482
ER3413_1942	1631
ER3413_1943	1263
ER3413_1944	730
ER3413_1945	283
ER3413_1947	519
ER3413_1948	2716
ER3413_1949	1484
ER3413_195	1094
ER3413_1950	2162
ER3413_1951	2950
ER3413_1952	1957
ER3413_1953	773
ER3413_1954	228
ER3413_1957	1185
ER3413_1958	114
ER3413_196	1751
ER3413_1960	2586
ER3413_1961	1424
ER3413_1962	0
ER3413_1963	0
ER3413_1964	30.5
ER3413_1965	1055
